time_stamp,index_no,City_long,City_lat,long,lat,name,city,humidity,temperature,voc,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-02-10,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,40.694,98.042,83.644,7.0755,6.831,7.32,9.0225,8.707,9.338,10.0015,9.864,10.139
2024-02-11,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,38.192,99.46,81.619,7.01,6.792,7.228,8.8865,8.575,9.198,9.763000000000002,9.63,9.896
2024-02-12,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,36.197,100.753,85.611,6.155,5.969,6.341,8.3145,8.06,8.569,9.588,9.58,9.596
2024-02-13,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,54.357,91.907,79.906,6.693,6.618,6.768,10.2855,10.191,10.38,12.7295,13.094,12.365
2024-02-14,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,55.587,91.549,73.338,6.3935,6.287,6.5,8.9975,8.835,9.16,10.425,10.574,10.276
2024-02-15,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,57.285,89.092,73.1,3.6095,3.522,3.697,4.6745,4.557,4.792,5.32,5.358,5.282
2024-02-16,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.949,91.135,74.538,7.0135,6.834,7.193,8.7865,8.551,9.022,9.6575,9.62,9.695
2024-02-17,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.028,92.884,82.352,11.110499999999998,10.931,11.29,14.98,14.696,15.264,16.9675,17.121,16.814
2024-02-18,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,42.022,94.556,84.567,11.152,10.933,11.371,15.2735,14.992,15.555,17.746499999999997,18.011,17.482
2024-02-19,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,53.293,89.757,87.971,7.291,7.187,7.395,9.496,9.349,9.643,10.5015,10.566,10.437
2024-02-20,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,50.456,87.515,74.078,4.531000000000001,4.367,4.695,5.9135,5.715,6.112,6.8125,6.793,6.832
2024-02-21,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.151,90.061,73.65,3.526,3.371,3.681,4.659,4.486,4.832,5.369,5.32,5.418
2024-02-22,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,41.61,94.633,79.584,4.6715,4.535,4.808,6.069,5.895,6.243,6.846,6.814,6.878
2024-02-23,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,43.566,95.777,85.027,7.4905,7.296,7.685,9.728000000000002,9.48,9.976,11.0475,11.04,11.055
2024-02-24,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.208,96.632,87.103,9.932,9.807,10.057,12.762,12.557,12.967,14.1205,14.262,13.979
2024-02-25,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,43.992,98.075,83.657,5.654999999999999,5.494,5.816,7.173,6.974,7.372,8.003,7.979,8.027
2024-02-26,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.225,93.489,80.434,2.7265,2.66,2.793,3.653,3.574,3.732,4.3715,4.405,4.338
2024-02-27,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,53.829,93.035,84.874,5.9665,5.931,6.002,7.8695,7.774,7.965,8.995999999999999,9.135,8.857
2024-02-28,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,50.961,93.058,77.488,2.67,2.568,2.772,3.658,3.545,3.771,4.4545,4.472,4.437
2024-02-29,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,56.951,88.043,82.424,2.996,2.96,3.032,4.1495,4.075,4.224,4.984500000000001,5.106,4.863
2024-03-01,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,50.623,90.671,74.589,4.980499999999999,4.89,5.071,6.468,6.346,6.59,7.284499999999999,7.313,7.256
2024-03-02,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.526,95.833,76.881,8.761,8.635,8.887,11.3195,11.118,11.521,12.687,12.805,12.569
2024-03-03,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,47.514,94.913,86.512,7.276,7.182,7.37,9.5995,9.442,9.757,10.8885,11.02,10.757
2024-03-04,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,57.01,87.411,85.466,5.0715,5.061,5.082,6.574,6.544,6.604,7.410500000000001,7.541,7.28
2024-03-05,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,54.965,88.263,72.024,7.7935,7.842,7.745,9.9635,9.889,10.038,10.8625,10.975,10.75
2024-03-06,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,50.755,88.74,72.343,6.2315000000000005,6.041,6.422,7.954499999999999,7.749,8.16,9.1505,9.207,9.094
2024-03-07,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.272,92.788,85.245,8.6395,8.58,8.699,11.3055,11.116,11.495,12.646,12.808,12.484
2024-03-08,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,53.788,92.136,71.868,4.6235,4.526,4.721,5.866,5.746,5.986,6.597,6.616,6.578
2024-03-09,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.109,95.449,71.507,4.534000000000001,4.469,4.599,5.9835,5.862,6.105,6.7145,6.745,6.684
2024-03-10,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,48.922,93.958,73.522,3.396,3.331,3.461,4.705,4.58,4.83,5.5175,5.571,5.464
2024-03-11,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,43.004,94.576,73.44,4.8845,4.807,4.962,6.4015,6.243,6.56,7.234500000000001,7.266,7.203
2024-03-12,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,42.697,97.238,86.921,10.821,10.761,10.881,14.5215,14.338,14.705,16.9555,17.178,16.733
2024-03-13,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,38.231,97.442,87.221,8.807500000000001,8.746,8.869,11.636,11.487,11.785,13.2305,13.414,13.047
2024-03-14,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,36.615,98.792,85.795,8.599,8.531,8.667,11.157,10.973,11.341,12.561,12.686,12.436
2024-03-15,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,44.105,98.617,82.222,7.3865,7.2,7.573,9.405,9.161,9.649,10.518,10.473,10.563
2024-03-16,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,44.293,98.213,78.841,6.05,6.023,6.077,7.901999999999999,7.752,8.052,8.8035,8.872,8.735
2024-03-17,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,53.985,90.485,84.797,5.254,5.246,5.262,6.8835,6.822,6.945,7.704000000000001,7.809,7.599
2024-03-18,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,54.19,92.159,72.923,5.75,5.748,5.752,7.599,7.458,7.74,8.5445,8.642,8.447
2024-03-19,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,49.219,94.625,71.027,3.8935,3.825,3.962,4.9705,4.832,5.109,5.6335,5.649,5.618
2024-03-20,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,47.164,96.336,68.956,4.99,4.966,5.014,6.548,6.402,6.694,7.3945,7.468,7.321
2024-03-21,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,47.572,95.562,71.946,6.46,6.366,6.554,8.4275,8.196,8.659,9.4515,9.539,9.364
2024-03-22,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,50.465,88.148,81.664,1.8255,1.737,1.914,2.3935,2.273,2.514,2.8715,2.854,2.889
2024-03-23,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.575,87.659,82.548,3.48,3.414,3.546,4.646,4.563,4.729,5.395,5.453,5.337
2024-03-24,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,43.029,89.053,70.237,3.66,3.575,3.745,4.9655000000000005,4.885,5.046,5.7315000000000005,5.776,5.687
2024-03-25,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.763,89.872,72.589,4.218500000000001,4.074,4.363,5.655,5.517,5.793,6.483499999999999,6.47,6.497
2024-03-26,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.248,90.356,74.17,7.9465,7.78,8.113,10.8755,10.716,11.035,12.4125,12.613,12.212
2024-03-27,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.229,92.765,81.946,5.7095,5.515,5.904,7.2865,7.096,7.477,8.102,8.049,8.155
2024-03-28,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,43.806,92.676,90.299,10.206499999999998,10.072,10.341,13.843,13.675,14.011,16.224,16.474,15.974
2024-03-29,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.414,92.543,84.129,10.7485,10.617,10.88,14.2275,14.038,14.417,16.06,16.267,15.853
2024-03-30,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.056,92.464,89.909,9.3285,9.173,9.484,12.0715,11.882,12.261,13.4905,13.583,13.398
2024-03-31,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,44.211,92.299,101.384,12.225,12.087,12.363,16.619,16.417,16.821,19.43,19.665,19.195
2024-04-01,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,49.458,91.363,85.176,16.601,16.451,16.751,22.9655,22.692,23.239,26.4605,26.973,25.948
2024-04-02,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.632,90.769,85.926,9.306,9.137,9.475,11.808,11.598,12.018,12.887,12.884,12.89
2024-04-03,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,48.468,93.331,91.328,10.959,10.895,11.023,14.712,14.558,14.866,16.948999999999998,17.21,16.688
2024-04-04,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.482,93.305,79.624,9.4755,9.313,9.638,12.015,11.781,12.249,13.2945,13.286,13.303
2024-04-05,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,56.724,92.071,82.217,18.8925,18.771,19.014,25.18,24.878,25.482,28.6805,29.014,28.347
2024-04-06,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,52.749,90.807,69.277,7.6365,7.518,7.755,9.5035,9.319,9.688,10.3775,10.361,10.394
2024-04-07,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,56.368,85.374,78.003,6.9485,6.886,7.011,8.860499999999998,8.79,8.931,9.8385,9.924,9.753
2024-04-08,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,59.904,85.511,77.109,4.765499999999999,4.755,4.776,6.0185,5.992,6.045,6.7265,6.814,6.639
2024-04-09,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,57.094,89.989,78.313,6.8195,6.726,6.913,8.471,8.326,8.616,9.1885,9.176,9.201
2024-04-10,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,55.785,91.537,86.12,9.242,9.168,9.316,11.771,11.609,11.933,12.991,13.109,12.873
2024-04-11,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,61.704,88.283,83.612,10.6095,10.602,10.617,13.2565,13.187,13.326,14.4895,14.709,14.27
2024-04-12,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,54.868,89.771,76.054,11.356000000000002,11.348,11.364,14.203,14.051,14.355,15.2085,15.268,15.149
2024-04-13,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,54.416,89.994,81.53,10.8785,10.889,10.868,13.743,13.681,13.805,14.909,15.13,14.688
2024-04-14,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,62.814,89.342,86.336,12.3785,12.511,12.246,15.6975,15.695,15.7,16.920499999999997,17.205,16.636
2024-04-15,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,59.01,89.572,81.088,1.8575,1.856,1.859,2.438,2.422,2.454,2.9255,2.976,2.875
2024-04-16,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,60.561,86.312,83.334,1.604,1.59,1.618,2.3805,2.342,2.419,2.93,3.016,2.844
2024-04-17,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,52.193,79.076,80.213,3.8095,3.764,3.855,5.054,4.965,5.143,5.6995000000000005,5.786,5.613
2024-04-18,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.483,77.879,81.898,5.814,5.785,5.843,7.9455,7.916,7.975,8.9505,9.155,8.746
2024-04-19,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,45.557,79.685,91.988,10.872,10.859,10.885,15.4905,15.485,15.496,18.1495,18.58,17.719
2024-04-20,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,48.676,81.651,96.787,11.081,11.033,11.129,15.4555,15.408,15.503,18.291,18.712,17.87
2024-04-21,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,48.567,84.789,97.943,11.484,11.424,11.544,15.549,15.455,15.643,17.7755,18.109,17.442
2024-04-22,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,55.137,85.274,98.646,13.8475,13.823,13.872,18.3925,18.278,18.507,20.8095,21.231,20.388
2024-04-23,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,61.258,83.803,77.981,5.2165,5.204,5.229,6.975,6.887,7.063,8.0165,8.187,7.846
2024-04-24,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,62.343,83.651,81.643,10.4025,10.51,10.295,13.4955,13.468,13.523,14.7875,15.061,14.514
2024-04-25,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,56.69,86.726,72.054,10.938,10.906,10.97,13.9525,13.814,14.091,15.474,15.686,15.262
2024-04-26,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,53.329,90.238,80.526,14.572500000000002,14.441,14.704,18.2655,18.015,18.516,19.9895,20.156,19.823
2024-04-27,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.797,92.13,86.651,16.639,16.508,16.77,21.6355,21.32,21.951,24.4985,24.753,24.244
2024-04-28,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,56.419,91.181,90.357,17.636,17.549,17.723,23.3205,23.04,23.601,26.703,27.035,26.371
2024-04-29,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,52.77,93.633,86.092,11.7355,11.579,11.892,14.8935,14.535,15.252,16.4625,16.5,16.425
2024-04-30,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.136,94.851,71.455,8.643,8.484,8.802,11.4235,11.156,11.691,13.0405,13.129,12.952
2024-05-01,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.537,95.574,77.725,8.467500000000001,8.33,8.605,11.396,11.103,11.689,13.2025,13.294,13.111
2024-05-02,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,46.803,93.894,69.188,4.412,4.277,4.547,5.756,5.574,5.938,6.584,6.564,6.604
2024-05-03,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,61.449,82.287,76.306,0.912,0.907,0.917,1.456,1.442,1.47,1.9955,2.052,1.939
2024-05-04,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,58.171,87.651,76.737,6.2335,6.192,6.275,8.0445,7.921,8.168,9.0325,9.117,8.948
2024-05-05,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,51.762,91.014,77.474,9.4385,9.248,9.629,11.9685,11.717,12.22,13.225,13.221,13.229
2024-05-06,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,42.232,90.442,79.661,9.245,9.12,9.37,12.1605,12.001,12.32,13.805,14.006,13.604
2024-05-07,187805.0,-54.588056,-25.547778,-53.6879,25.3156,FozdoIguacu-Centro,Foz do Iguacu,43.418,90.887,82.21,7.031000000000001,6.941,7.121,9.2695,9.157,9.382,10.6255,10.795,10.456
