time_stamp,index_no,City_long,City_lat,long,lat,name,city,humidity,temperature,voc,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-03-24 21:00:00,187787.0,-54.093889,-25.295278,-52.812,-25.062,Medianeira-UTFPR,Medianeira,45.574,90.462,87.127,1.6509999999999998,1.638,1.664,2.2765,2.25,2.303,2.7495,2.703,2.796
2024-03-25 21:00:00,187787.0,-54.093889,-25.295278,-52.812,-25.062,Medianeira-UTFPR,Medianeira,46.05,90.683,77.897,3.2195,3.237,3.202,4.1485,4.154,4.143,4.751,4.74,4.762
2024-03-26 21:00:00,187787.0,-54.093889,-25.295278,-52.812,-25.062,Medianeira-UTFPR,Medianeira,44.714,92.451,73.781,3.2085,3.181,3.236,4.0875,4.049,4.126,4.656000000000001,4.614,4.698
2024-03-27 21:00:00,187787.0,-54.093889,-25.295278,-52.812,-25.062,Medianeira-UTFPR,Medianeira,37.5,98.233,88.34,4.1555,4.112,4.199,5.109,5.077,5.141,5.7115,5.589,5.834
2024-03-28 21:00:00,,,,,,,,,,,,,,,,,,,
2024-03-29 21:00:00,,,,,,,,,,,,,,,,,,,
2024-03-30 21:00:00,,,,,,,,,,,,,,,,,,,
2024-03-31 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-01 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-02 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-03 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-04 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-05 21:00:00,187787.0,-54.093889,-25.295278,-52.812,-25.062,Medianeira-UTFPR,Medianeira,49.267,93.5,101.436,10.143999999999998,10.591,9.697,12.132,12.496,11.768,12.7815,13.081,12.482
2024-04-06 21:00:00,187787.0,-54.093889,-25.295278,-52.812,-25.062,Medianeira-UTFPR,Medianeira,51.25,85.678,88.596,6.5635,6.684,6.443,8.2685,8.367,8.17,9.2045,9.241,9.168
2024-04-07 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-08 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-09 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-10 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-11 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-12 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-13 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-14 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-15 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-16 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-17 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-18 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-19 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-20 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-21 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-22 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-23 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-24 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-25 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-26 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-27 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-28 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-29 21:00:00,,,,,,,,,,,,,,,,,,,
2024-04-30 21:00:00,,,,,,,,,,,,,,,,,,,
2024-05-01 21:00:00,,,,,,,,,,,,,,,,,,,
