City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,5.81425,7.632000000000001,8.316749999999999,913.443,56.7725,40.6685,80.405
-48.991111,-24.657222,Adrianopolis,8.799,11.2445,14.193,996.786,60.925,53.706,
-50.382778,-25.874167,Sao Mateus do Sul,8.69225,12.159,14.014,930.133,62.3575,33.1895,85.376
-53.055,-26.081111,Francisco Beltrao,2.956,4.4715,5.008,949.985,59.048,43.423,82.57
-54.093889,-25.295278,Medianeira,6.4805,8.904,9.703,974.283,67.735,37.288,81.45
-54.588056,-25.547778,Foz do Iguacu,14.479,20.4705,24.472,1003.635,64.583,41.562,81.188
-54.056667,-24.556111,Marechal Candido Rondon,4.37875,6.0675,6.848999999999999,975.1225,71.8065,28.5995,84.4015
-52.383056,-24.045556,Campo Mourao,3.9145,5.07275,5.659,953.0995,62.2265,35.667,78.52000000000001
-50.161944,-25.095,Ponta Grossa,7.507,10.967,12.109,915.112,64.562,33.407,81.348
-51.162778,-23.310278,Londrina,3.85,5.2947500000000005,5.9165,955.359,67.7725,30.06,76.37
-51.458056,-25.395278,Guarapuava,13.581113636363636,20.74747727272727,23.50027272727273,903.20525,66.49090909090908,31.80909090909091,168.47281167108753
-54.05666699999999,-24.556111,,23.46318953323904,26.828295615275817,28.185968882602545,972.6782036775106,67.81046676096182,36.67751060820368,91.68895332390382
