City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,6.3412500000000005,8.76,9.59325,919.5255,62.7955,72.251,85.56
-48.991111,-24.657222,Adrianopolis,0.458,1.0255,1.6825,1001.928,68.043,73.268,
-50.382778,-25.874167,Sao Mateus do Sul,6.7525,9.3065,10.40175,935.4115,64.667,62.6515,76.3075
-53.055,-26.081111,Francisco Beltrao,12.959,18.157,19.155,953.897,57.057,61.67,85.997
-54.093889,-25.295278,Medianeira,13.8525,19.109,22.457,978.174,58.381,62.79,90.302
-54.588056,-25.547778,Foz do Iguacu,12.2645,15.723,16.783,1008.058,59.256,57.561,67.587
-54.056667,-24.556111,Marechal Candido Rondon,12.9765,17.08475,18.499,978.664,57.3955,65.132,75.418
-52.383056,-24.045556,Campo Mourao,0.6635,0.85075,1.10375,956.1915,65.446,62.6205,83.5895
-52.465278,-23.073056,Paranavai,4.891,6.151,6.533,971.838,66.326,66.312,139.584
-50.161944,-25.095,Ponta Grossa,5.1445,6.6935,7.2515,920.214,68.479,64.776,70.363
-51.162778,-23.310278,Londrina,4.6615,6.75575,7.5495,958.664,73.845,58.7955,69.54650000000001
-51.458056,-25.395278,Guarapuava,13.205027397260274,18.97519178082192,21.248424657534247,902.2357397260272,63.03013698630137,61.95205479452055,163.2125521669342
