City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,1.9951666666666668,2.8218333333333336,3.356333333333333,,-30.043666666666667,61.023,107.678
-48.991111,-24.657222,Adrianopolis,3.095,4.568,6.614000000000001,,81.427,54.801,
-50.382778,-25.874167,Sao Mateus do Sul,3.97725,5.22875,6.1795,,76.11,61.588,98.7465
-53.055,-26.081111,Francisco Beltrao,6.8075,8.312000000000001,8.9085,,85.003,57.436,77.572
-54.093889,-25.295278,Medianeira,10.143999999999998,12.132,12.7815,,93.5,49.267,101.436
-54.588056,-25.547778,Foz do Iguacu,7.6365,9.5035,10.3775,,90.807,52.749,69.277
-54.056667,-24.556111,Marechal Candido Rondon,8.82625,10.727,11.5435,,93.1415,45.767,75.826
-52.383056,-24.045556,Campo Mourao,10.24325,11.98075,12.8465,,87.2735,50.95099999999999,71.678
-52.465278,-23.073056,Paranavai,16.8525,20.91,22.4595,,94.244,43.989,147.727
-50.161944,-25.095,Ponta Grossa,2.5505,3.4565,4.1755,,77.831,61.758,78.338
-51.458056,-25.395278,Guarapuava,16.52656634746922,21.671805745554035,23.79901504787962,902.1616005471956,86.96853625170999,48.62380300957592,116.37255737704918
