City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,7.637333333333333,10.611166666666668,11.663833333333336,,-29.59633333333333,57.96666666666667,89.431
-50.382778,-25.874167,Sao Mateus do Sul,7.05725,10.20075,11.96625,,70.7975,53.65,85.6995
-53.055,-26.081111,Francisco Beltrao,2.2825,2.986,3.284,,67.247,56.525,69.779
-54.588056,-25.547778,Foz do Iguacu,8.314,11.026,12.1565,,68.968,56.122,83.566
-54.056667,-24.556111,Marechal Candido Rondon,3.08275,4.0085,4.46475,,79.9885,43.97,81.9365
-52.383056,-24.045556,Campo Mourao,4.12175,4.98475,5.438000000000001,,72.277,53.471,79.1965
-50.161944,-25.095,Ponta Grossa,5.162999999999999,6.48875,7.06325,,77.7775,53.865,71.62299999999999
-51.162778,-23.310278,Londrina,11.9285,16.0285,16.6235,,75.777,67.007,68.702
-51.458056,-25.395278,Guarapuava,1.9574246575342469,2.599712328767123,2.836794520547945,903.1252191780824,74.4041095890411,60.07671232876712,84.16631067961166
-49.273056,-25.427778,Curitiba,0.165,0.3299999999999999,0.355,,-232.0,61.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,72.0,54.04
-49.273056,-25.427778,Curitiba,0.77,1.43,1.57,,63.0,77.0,
-49.273056,-25.427778,Curitiba,0.66,0.895,1.02,,-232.0,61.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.18,,66.0,73.0,54.44
-49.273056,-25.427778,Curitiba,1.05,1.53,1.77,,63.0,77.0,
-49.273056,-25.427778,Curitiba,0.96,1.16,1.19,,-232.0,60.0,
-49.273056,-25.427778,Curitiba,0.0,0.025,0.16,,65.0,73.0,55.5
-49.273056,-25.427778,Curitiba,0.85,1.22,1.39,,63.0,76.0,
-49.273056,-25.427778,Curitiba,0.345,0.6,1.07,,-232.0,61.0,
-49.273056,-25.427778,Curitiba,0.0,0.015,0.21,,66.0,72.0,56.89
-49.273056,-25.427778,Curitiba,0.95,1.12,1.28,,63.0,76.0,
-49.273056,-25.427778,Curitiba,0.505,0.6849999999999999,0.7749999999999999,,-232.0,62.0,
-49.273056,-25.427778,Curitiba,0.0,0.06,0.06,,65.0,73.0,57.49
-49.273056,-25.427778,Curitiba,1.27,1.61,1.61,,63.0,77.0,
-49.273056,-25.427778,Curitiba,0.36,0.73,0.73,,-232.0,61.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.21,,65.0,73.0,57.41
-49.273056,-25.427778,Curitiba,0.56,0.69,0.85,,63.0,76.0,
-49.273056,-25.427778,Curitiba,0.465,0.835,0.835,,-232.0,60.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.035,,65.0,73.0,56.88
-49.273056,-25.427778,Curitiba,1.48,1.97,1.97,,63.0,77.0,
-49.273056,-25.427778,Curitiba,0.245,0.5,0.5,,-232.0,60.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,73.0,56.81
-49.273056,-25.427778,Curitiba,2.05,2.72,2.81,,63.0,76.0,
-49.273056,-25.427778,Curitiba,0.145,0.175,0.175,,-232.0,61.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.17,,65.0,73.0,55.38
