City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,0.4,0.55,0.55,,59.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.105,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,63.0,71.0,69.64
-49.273056,-25.427778,Curitiba,0.0,0.05,0.05,,59.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.13,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.045,,64.0,71.0,69.31
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,59.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.015,,63.0,73.0,69.11
-49.273056,-25.427778,Curitiba,0.0,0.16,0.2,,59.0,77.0,
-49.273056,-25.427778,Curitiba,0.035,0.11,0.2,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,72.0,69.15
-49.273056,-25.427778,Curitiba,0.0,0.0,0.21,,59.0,77.0,
-49.273056,-25.427778,Curitiba,0.16,0.295,0.315,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,72.0,69.7
-49.273056,-25.427778,Curitiba,0.0,0.21,0.21,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.14,0.44,0.55,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.045,,63.0,73.0,70.08
-49.273056,-25.427778,Curitiba,0.09,0.4,0.44,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.43,0.8049999999999999,0.92,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,72.0,70.97
-49.273056,-25.427778,Curitiba,0.27,0.57,0.77,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.15,0.4549999999999999,0.51,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,71.0,72.4
-49.273056,-25.427778,Curitiba,0.41,0.76,1.02,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.09,0.21,0.325,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,73.01
-49.273056,-25.427778,Curitiba,0.0,0.09,0.09,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.04,0.2,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,74.13
-49.273056,-25.427778,Curitiba,0.0,0.11,0.59,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,76.7
-49.273056,-25.427778,Curitiba,0.0,0.0,0.04,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,76.92
-49.273056,-25.427778,Curitiba,0.0,0.0,0.22,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.09,0.105,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,76.98
-49.273056,-25.427778,Curitiba,0.0,0.02,0.08,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.08,0.08,0.125,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,78.81
-49.273056,-25.427778,Curitiba,0.0,0.18,0.3,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,79.2
-49.273056,-25.427778,Curitiba,0.0,0.0,0.18,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.035,0.07,0.07,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.025,,65.0,69.0,82.5
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,59.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.025,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,83.98
-49.273056,-25.427778,Curitiba,0.0,0.0,0.02,,65.0,70.0,83.55
