City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,2.1255,2.7185,2.9285,920.4875,63.7175,72.12,75.575
-48.991111,-24.657222,Adrianopolis,0.1139999999999999,0.358,0.9895,1002.499,70.139,69.864,
-50.382778,-25.874167,Sao Mateus do Sul,5.09575,6.9335,7.85925,936.436,68.256,61.865,74.0385
-53.055,-26.081111,Francisco Beltrao,24.257,39.443,43.089,951.6,68.888,63.832,154.089
-54.093889,-25.295278,Medianeira,10.7125,14.1025,15.4365,974.573,73.125,55.823,92.214
-54.588056,-25.547778,Foz do Iguacu,20.799,28.46,33.25,1003.304,68.743,57.589,101.002
-54.056667,-24.556111,Marechal Candido Rondon,173.866,177.54825000000002,179.4985,975.3745,72.696,52.2685,79.45150000000001
-52.383056,-24.045556,Campo Mourao,2.24025,2.81475,3.33575,955.485,70.391,58.685,81.0715
-52.465278,-23.073056,Paranavai,7.791,9.86,10.567,970.081,79.404,50.555,134.86
-50.161944,-25.095,Ponta Grossa,2.3395,3.078,3.373,921.059,66.258,66.846,68.252
-51.162778,-23.310278,Londrina,3.38675,4.47275,5.067,958.793,76.1595,52.8005,69.9785
-51.458056,-25.395278,Guarapuava,4.22373461012312,6.202599179206567,6.727072503419972,907.5718878248974,66.63201094391245,60.78248974008208,146.64072115384616
