City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,25.8605,34.1045,39.7925,,-24.282,48.93966666666668,95.612
-48.991111,-24.657222,Adrianopolis,13.221,17.381999999999998,19.992,,81.378,61.669,
-50.382778,-25.874167,Sao Mateus do Sul,12.7855,17.399,19.53525,,81.50200000000001,48.5365,95.3185
-53.055,-26.081111,Francisco Beltrao,9.7875,12.777,14.4425,,81.003,57.239,134.928
-54.588056,-25.547778,Foz do Iguacu,7.031000000000001,9.2695,10.6255,,90.887,43.418,82.21
-54.056667,-24.556111,Marechal Candido Rondon,4.00975,5.30125,6.342499999999999,,91.979,37.785,81.1125
-52.383056,-24.045556,Campo Mourao,5.914,7.3435,8.74825,,85.78200000000001,43.7855,86.47900000000001
-52.465278,-23.073056,Paranavai,4.6905,6.7685,9.134,,92.693,39.147,135.829
-50.161944,-25.095,Ponta Grossa,12.4925,17.134,19.1035,,83.792,46.042,72.915
-51.458056,-25.395278,Guarapuava,11.104849315068494,15.039136986301369,16.58449315068493,901.6513698630137,81.77808219178083,45.153424657534245,111.3596103896104
-49.273056,-25.427778,Curitiba,20.05,26.82,28.04,,79.0,48.0,
-49.273056,-25.427778,Curitiba,23.075,34.175,40.5,,-232.0,44.0,
-49.273056,-25.427778,Curitiba,13.43,16.244999999999997,18.345,,76.0,60.0,98.97
-49.273056,-25.427778,Curitiba,19.2,26.68,28.21,,79.0,48.0,
-49.273056,-25.427778,Curitiba,23.18,34.41,39.790000000000006,,-232.0,43.0,
-49.273056,-25.427778,Curitiba,12.27,14.525,15.86,,76.0,59.0,95.15
-49.273056,-25.427778,Curitiba,19.66,25.97,26.91,,79.0,47.0,
-49.273056,-25.427778,Curitiba,23.585,34.21,39.675,,-232.0,42.0,
-49.273056,-25.427778,Curitiba,12.075,14.7,16.015,,77.0,58.0,92.26
-49.273056,-25.427778,Curitiba,19.64,24.64,25.97,,80.0,46.0,
-49.273056,-25.427778,Curitiba,23.0,34.435,41.0,,-232.0,42.0,
-49.273056,-25.427778,Curitiba,11.715,13.89,15.06,,78.0,56.0,90.79
-49.273056,-25.427778,Curitiba,19.86,27.09,28.21,,80.0,46.0,
-49.273056,-25.427778,Curitiba,22.46,32.735,37.28,,-232.0,42.0,
-49.273056,-25.427778,Curitiba,12.235,14.58,15.425,,78.0,55.0,87.48
-49.273056,-25.427778,Curitiba,18.12,24.61,25.6,,80.0,45.0,
-49.273056,-25.427778,Curitiba,21.335,31.055,35.145,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,12.28,14.34,15.544999999999998,,78.0,55.0,86.33
-49.273056,-25.427778,Curitiba,18.21,23.69,24.93,,81.0,44.0,
-49.273056,-25.427778,Curitiba,20.59,32.035,38.325,,-232.0,37.0,
-49.273056,-25.427778,Curitiba,11.83,14.205,14.95,,78.0,54.0,84.37
-49.273056,-25.427778,Curitiba,18.47,24.26,25.17,,81.0,44.0,
-49.273056,-25.427778,Curitiba,23.87,40.755,54.195,,-232.0,35.0,
-49.273056,-25.427778,Curitiba,11.58,13.47,14.66,,78.0,53.0,82.08
-49.273056,-25.427778,Curitiba,18.21,23.07,24.39,,81.0,43.0,
-49.273056,-25.427778,Curitiba,28.81,48.80500000000001,68.59,,-232.0,35.0,
-49.273056,-25.427778,Curitiba,11.645,13.94,15.295,,79.0,53.0,79.65
-49.273056,-25.427778,Curitiba,15.84,21.07,22.07,,82.0,42.0,
-49.273056,-25.427778,Curitiba,29.625,51.36,73.055,,-232.0,34.0,
-49.273056,-25.427778,Curitiba,11.59,14.075,15.235,,79.0,50.0,77.07
-49.273056,-25.427778,Curitiba,15.02,19.66,20.67,,82.0,41.0,
-49.273056,-25.427778,Curitiba,34.945,65.745,90.005,,-232.0,33.0,
-49.273056,-25.427778,Curitiba,10.415,12.705,13.605,,80.0,50.0,74.41
-49.273056,-25.427778,Curitiba,15.78,19.78,21.12,,82.0,41.0,
-49.273056,-25.427778,Curitiba,36.325,69.605,96.65,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,10.6,13.175,13.765,,80.0,49.0,73.24
-49.273056,-25.427778,Curitiba,18.02,23.33,24.18,,82.0,40.0,
-49.273056,-25.427778,Curitiba,33.515,61.235,85.33,,-232.0,31.0,
-49.273056,-25.427778,Curitiba,11.205,13.7,14.09,,81.0,49.0,72.02
-49.273056,-25.427778,Curitiba,17.3,21.79,22.72,,83.0,40.0,
-49.273056,-25.427778,Curitiba,31.18,53.17,76.925,,-232.0,31.0,
-49.273056,-25.427778,Curitiba,10.755,13.010000000000002,13.9,,81.0,48.0,72.21
-49.273056,-25.427778,Curitiba,15.68,21.03,22.07,,83.0,39.0,
-49.273056,-25.427778,Curitiba,31.05,54.24,76.755,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,11.97,14.09,14.795,,81.0,49.0,79.44
-49.273056,-25.427778,Curitiba,16.37,22.07,22.87,,83.0,38.0,
-49.273056,-25.427778,Curitiba,29.105,48.55,67.815,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,10.965,13.195,13.945,,82.0,47.0,76.98
-49.273056,-25.427778,Curitiba,15.8,21.41,22.75,,84.0,38.0,
-49.273056,-25.427778,Curitiba,25.33,39.41,50.04,,-232.0,33.0,
-49.273056,-25.427778,Curitiba,11.3,13.88,15.355,,82.0,48.0,74.92
-49.273056,-25.427778,Curitiba,19.5,24.88,26.3,,84.0,37.0,
-49.273056,-25.427778,Curitiba,23.15,35.02,43.0,,-232.0,33.0,
-49.273056,-25.427778,Curitiba,11.045,12.915,13.82,,83.0,46.0,74.62
-49.273056,-25.427778,Curitiba,17.31,23.07,23.86,,84.0,37.0,
-49.273056,-25.427778,Curitiba,23.21,34.364999999999995,41.620000000000005,,-232.0,33.0,
-49.273056,-25.427778,Curitiba,11.215,13.58,14.34,,83.0,46.0,74.48
-49.273056,-25.427778,Curitiba,17.4,23.45,24.83,,84.0,36.0,
-49.273056,-25.427778,Curitiba,21.505,31.175,34.805,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,11.225,13.675,14.7,,84.0,45.0,73.25
-49.273056,-25.427778,Curitiba,16.39,20.91,21.79,,84.0,35.0,
-49.273056,-25.427778,Curitiba,20.56,29.895,33.85,,-232.0,33.0,
-49.273056,-25.427778,Curitiba,10.965,13.275,14.48,,85.0,44.0,71.25
-49.273056,-25.427778,Curitiba,16.75,21.62,22.04,,85.0,35.0,
-49.273056,-25.427778,Curitiba,20.1,28.89,31.725,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,11.05,13.36,14.055,,85.0,43.0,71.05
-49.273056,-25.427778,Curitiba,16.14,20.37,21.95,,83.0,36.0,
-49.273056,-25.427778,Curitiba,20.22,28.65,30.595,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,10.215,12.57,13.489999999999998,,86.0,43.0,70.75
-49.273056,-25.427778,Curitiba,16.0,21.45,22.22,,84.0,35.0,
-49.273056,-25.427778,Curitiba,21.755,30.505,34.379999999999995,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,11.02,13.325,14.305,,86.0,44.0,69.71
-49.273056,-25.427778,Curitiba,15.79,20.32,21.37,,85.0,35.0,
-49.273056,-25.427778,Curitiba,19.86,28.125,31.48,,-232.0,31.0,
-49.273056,-25.427778,Curitiba,11.215,13.18,13.73,,87.0,43.0,71.57
-49.273056,-25.427778,Curitiba,15.89,20.34,21.27,,85.0,34.0,
-49.273056,-25.427778,Curitiba,18.09,24.135,26.115,,-232.0,32.0,
-49.273056,-25.427778,Curitiba,11.135000000000002,13.655,14.825,,88.0,42.0,72.36
-49.273056,-25.427778,Curitiba,16.58,20.82,21.96,,85.0,34.0,
-49.273056,-25.427778,Curitiba,17.455,24.295,25.82,,-232.0,31.0,
-49.273056,-25.427778,Curitiba,10.75,12.995,14.015,,88.0,41.0,70.87
-49.273056,-25.427778,Curitiba,14.32,17.71,17.98,,85.0,34.0,
-49.273056,-25.427778,Curitiba,31.61,41.47,47.145,,-232.0,31.0,
-49.273056,-25.427778,Curitiba,10.23,12.23,12.98,,88.0,40.0,70.54
-49.273056,-25.427778,Curitiba,14.19,19.29,19.83,,85.0,33.0,
-49.273056,-25.427778,Curitiba,17.009999999999998,23.415,24.655,,-232.0,31.0,
-49.273056,-25.427778,Curitiba,9.27,11.14,12.18,,88.0,40.0,71.45
-49.273056,-25.427778,Curitiba,14.02,18.81,20.5,,86.0,33.0,
-49.273056,-25.427778,Curitiba,15.44,20.855,22.57,,-232.0,30.0,
-49.273056,-25.427778,Curitiba,9.1,11.125,11.79,,88.0,41.0,70.49
