City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,28.7125,39.5575,46.1975,,73.8375,55.5525,121.389
-48.991111,-24.657222,Adrianopolis,9.953,13.238,15.249,,73.956,67.033,
-50.382778,-25.874167,Sao Mateus do Sul,15.337,20.35275,23.3525,,76.494,50.753,90.276
-53.055,-26.081111,Francisco Beltrao,13.602,17.576,19.4175,,76.962,58.669,125.424
-54.093889,-25.295278,Medianeira,4.1505,5.468500000000001,6.5685,,87.041,39.485,82.756
-54.588056,-25.547778,Foz do Iguacu,12.1895,16.5805,20.1615,,85.928,45.089,98.225
-54.056667,-24.556111,Marechal Candido Rondon,6.785500000000001,9.19875,11.16875,,90.59,34.186,93.897
-52.383056,-24.045556,Campo Mourao,8.973749999999999,11.0105,12.56625,,79.783,44.5015,82.88550000000001
-52.465278,-23.073056,Paranavai,7.453,9.324,10.258,,87.211,38.933,128.516
-50.161944,-25.095,Ponta Grossa,12.536,16.990000000000002,18.9975,,82.794,44.454,71.206
-51.162778,-23.310278,Londrina,11.1335,14.473,15.682,,81.774,48.893,75.953
-51.458056,-25.395278,Guarapuava,14.629616438356166,20.12275342465753,22.826575342465755,903.2608493150684,77.24657534246575,49.46164383561644,149.55029411764707
