City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,20.0105,27.4925,32.32125,,72.6265,55.340500000000006,102.413
-50.382778,-25.874167,Sao Mateus do Sul,20.32825,28.041000000000004,32.404,,72.5795,53.810500000000005,93.839
-53.055,-26.081111,Francisco Beltrao,15.5095,20.637500000000003,22.8425,,75.035,57.025,132.092
-54.093889,-25.295278,Medianeira,9.234,12.1705,14.1305,,85.524,40.576,99.038
-54.588056,-25.547778,Foz do Iguacu,19.5175,26.059,29.7375,,82.369,49.737,94.159
-54.056667,-24.556111,Marechal Candido Rondon,11.008500000000002,14.51175,16.50525,,86.9,36.79,79.4135
-52.383056,-24.045556,Campo Mourao,11.201,13.991,15.799499999999998,,78.452,43.382000000000005,110.375
-52.465278,-23.073056,Paranavai,7.054,9.2605,10.917,,86.997,37.914,164.005
-50.161944,-25.095,Ponta Grossa,13.9075,18.82,20.778,,79.329,44.318,73.853
-51.162778,-23.310278,Londrina,10.702,14.0445,15.162,,80.319,49.763,68.701
-51.458056,-25.395278,Guarapuava,15.68153214774282,22.19281805745554,25.11831737346101,905.9097127222982,70.86456908344734,48.67168262653899,137.55534201954396
