City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,11.339666666666666,15.5095,17.517333333333337,,-24.904666666666667,51.323,77.334
-48.991111,-24.657222,Adrianopolis,5.814,7.927,9.685,,81.144,61.108,
-50.382778,-25.874167,Sao Mateus do Sul,8.182500000000001,10.584499999999998,12.08775,,84.53999999999999,49.724,84.21799999999999
-53.055,-26.081111,Francisco Beltrao,9.666,12.5955,13.868,,78.869,64.843,106.018
-54.588056,-25.547778,Foz do Iguacu,6.596,8.227,8.997,,78.432,63.374,78.76
-54.056667,-24.556111,,7.691,9.7665,11.0495,,83.106,56.675,73.813
-52.383056,-24.045556,Campo Mourao,6.73675,8.55175,10.37875,,87.794,43.709,86.234
-52.465278,-23.073056,Paranavai,3.524,4.874,6.523,,95.015,37.418,112.191
-50.161944,-25.095,Ponta Grossa,5.8785,8.045,9.5575,,89.7135,40.9705,90.55
-51.458056,-25.395278,Guarapuava,14.312,19.504,22.124,,83.292,49.45,99.201
-54.056667,-24.556111,Marechal Candido Rondon,7.691,9.7665,11.0495,,83.106,56.675,73.813
